table,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,Q_aq_mL_min,Q_org_mL_min,We_aq,We_org,FE_ADN_pct,FE_TCH_pct,FE_PN_pct,PR_ADN_kg_cm2_h,EP_ADN_kg_kWh
Table_S6,0.5,6,80,0.29,4.26,1.74,6.0E-02,8.1E-03,60.4,12.1,5.5,9.8E-05,0.369
Table_S6,0.5,6,85,0.16,5.04,0.96,8.4E-02,2.5E-03,61.0,12.8,9.5,1.1E-04,0.371
Table_S6,0.5,6,101,0.08,5.52,0.48,1.0E-01,6.2E-04,65.1,13.9,10.5,1.3E-04,0.381
Table_S6,0.5,6,116,0.24,4.56,1.44,6.9E-02,5.6E-03,58.8,12.7,7.6,1.4E-04,0.324
Table_S6,0.5,6,131,0.04,5.76,0.24,1.1E-01,1.5E-04,65.8,14.6,8.6,1.7E-04,0.361
Table_S6,0.5,6,147,0.20,4.80,1.20,7.6E-02,3.9E-03,58.4,12.5,8.5,1.7E-04,0.300
Table_S6,0.5,6,162,0.12,5.28,0.72,9.2E-02,1.4E-03,63.1,12.8,9.9,2.1E-04,0.318
Table_S6,0.5,6,177,0.28,4.32,1.68,6.2E-02,7.6E-03,62.0,12.4,4.6,2.2E-04,0.294
Table_S6,0.5,6,193,0.02,5.88,0.12,1.1E-01,3.9E-05,22.5,4.1,14.0,8.7E-05,0.105
Table_S6,0.5,6,208,0.18,4.92,1.08,8.0E-02,3.1E-03,60.9,12.8,10.5,2.6E-04,0.275
Table_S6,0.5,6,223,0.10,5.40,0.60,9.6E-02,9.6E-04,65.0,14.0,10.2,2.9E-04,0.290
Table_S6,0.5,6,239,0.26,4.44,1.56,6.5E-02,6.5E-03,66.3,13.6,5.2,3.2E-04,0.284
Table_S6,0.5,6,254,0.06,5.64,0.36,1.1E-01,3.5E-04,62.1,14.0,10.1,3.2E-04,0.274
Table_S6,0.5,6,269,0.22,4.68,1.32,7.2E-02,4.7E-03,65.3,13.5,5.9,3.5E-04,0.298
Table_S6,0.5,6,285,0.14,5.16,0.84,8.8E-02,1.9E-03,69.2,14.2,5.9,4.0E-04,0.311
Table_S6,0.5,6,290,0.02,5.88,0.12,1.1E-01,3.9E-05,0.0,0.9,5.5,0.0E+00,0.000
Table_S6,0.5,6,290,0.29,4.26,1.74,6.0E-02,8.1E-03,63.4,12.1,7.7,3.7E-04,0.287
Table_S7,0.5,10,85,0.02,9.8,0.2,3.2E-01,1.1E-04,46.4,8.6,20.8,8.0E-05,0.309
Table_S7,0.5,10,80,0.29,7.1,2.9,1.7E-01,2.3E-02,68.1,14.8,3.4,1.1E-04,0.446
Table_S7,0.5,10,85,0.16,8.4,1.6,2.3E-01,6.9E-03,65.5,12.3,11.7,1.1E-04,0.438
Table_S7,0.5,10,101,0.08,9.2,0.8,2.8E-01,1.7E-03,74.7,14.8,10.7,1.5E-04,0.486
Table_S7,0.5,10,116,0.24,7.6,2.4,1.9E-01,1.5E-02,58.6,11.5,14.1,1.4E-04,0.360
